arm,subset,family,n,executed,metric,estimate,numerator,denominator,ci95_low,ci95_high
A,single_fault,D1,72,72,accuracy,0.0,0,72,0.0,0.0
A,single_fault,D2,24,24,VAR,,0,0,,
A,single_fault,D2,24,24,VRR,,0,0,,
A,single_fault,D2,24,24,VIR,,0,0,,
A,single_fault,D2,24,24,IAR,,0,0,,
A,single_fault,D2,24,24,IDR,,0,0,,
A,single_fault,D2,24,24,IDR_indet,0.0,0,24,0.0,0.0
A,single_fault,D2,24,24,coverage,1.0,24,24,1.0,1.0
A,single_fault,D2,24,24,abstention,0.0,0,24,0.0,0.0
A,single_fault,D2,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,single_fault,D2,24,24,accuracy,0.0,0,24,0.0,0.0
A,single_fault,D3,24,24,VAR,,0,0,,
A,single_fault,D3,24,24,VRR,,0,0,,
A,single_fault,D3,24,24,VIR,,0,0,,
A,single_fault,D3,24,24,IAR,,0,0,,
A,single_fault,D3,24,24,IDR,,0,0,,
A,single_fault,D3,24,24,IDR_indet,0.0,0,24,0.0,0.0
A,single_fault,D3,24,24,coverage,1.0,24,24,1.0,1.0
A,single_fault,D3,24,24,abstention,0.0,0,24,0.0,0.0
A,single_fault,D3,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,single_fault,D3,24,24,accuracy,0.0,0,24,0.0,0.0
A,single_fault,D4,24,24,VAR,,0,0,,
A,single_fault,D4,24,24,VRR,,0,0,,
A,single_fault,D4,24,24,VIR,,0,0,,
A,single_fault,D4,24,24,IAR,,0,0,,
A,single_fault,D4,24,24,IDR,,0,0,,
A,single_fault,D4,24,24,IDR_indet,0.0,0,24,0.0,0.0
A,single_fault,D4,24,24,coverage,1.0,24,24,1.0,1.0
A,single_fault,D4,24,24,abstention,0.0,0,24,0.0,0.0
A,single_fault,D4,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,single_fault,D4,24,24,accuracy,0.0,0,24,0.0,0.0
A,single_fault,I1,24,24,VAR,,0,0,,
A,single_fault,I1,24,24,VRR,,0,0,,
A,single_fault,I1,24,24,VIR,,0,0,,
