arm,subset,ground_truth,prediction,count
E,canonical,INDETERMINATE,UNAVAILABLE,0
E,single_fault,VALID,VALID,0
E,single_fault,VALID,INVALID,0
E,single_fault,VALID,INDETERMINATE,0
E,single_fault,VALID,UNAVAILABLE,0
E,single_fault,INVALID,VALID,0
E,single_fault,INVALID,INVALID,336
E,single_fault,INVALID,INDETERMINATE,0
E,single_fault,INVALID,UNAVAILABLE,0
E,single_fault,INDETERMINATE,VALID,0
E,single_fault,INDETERMINATE,INVALID,0
E,single_fault,INDETERMINATE,INDETERMINATE,144
E,single_fault,INDETERMINATE,UNAVAILABLE,0
E,compound_fault,VALID,VALID,0
E,compound_fault,VALID,INVALID,0
E,compound_fault,VALID,INDETERMINATE,0
E,compound_fault,VALID,UNAVAILABLE,0
E,compound_fault,INVALID,VALID,0
E,compound_fault,INVALID,INVALID,96
E,compound_fault,INVALID,INDETERMINATE,0
E,compound_fault,INVALID,UNAVAILABLE,0
E,compound_fault,INDETERMINATE,VALID,0
E,compound_fault,INDETERMINATE,INVALID,0
E,compound_fault,INDETERMINATE,INDETERMINATE,0
E,compound_fault,INDETERMINATE,UNAVAILABLE,0
E,all,VALID,VALID,240
E,all,VALID,INVALID,0
E,all,VALID,INDETERMINATE,0
E,all,VALID,UNAVAILABLE,0
E,all,INVALID,VALID,0
E,all,INVALID,INVALID,672
E,all,INVALID,INDETERMINATE,0
E,all,INVALID,UNAVAILABLE,0
E,all,INDETERMINATE,VALID,0
E,all,INDETERMINATE,INVALID,0
E,all,INDETERMINATE,INDETERMINATE,240
E,all,INDETERMINATE,UNAVAILABLE,0
F,canonical,VALID,VALID,240
F,canonical,VALID,INVALID,0
F,canonical,VALID,INDETERMINATE,0
F,canonical,VALID,UNAVAILABLE,0
F,canonical,INVALID,VALID,0
F,canonical,INVALID,INVALID,240
F,canonical,INVALID,INDETERMINATE,0
F,canonical,INVALID,UNAVAILABLE,0
F,canonical,INDETERMINATE,VALID,0
F,canonical,INDETERMINATE,INVALID,0
F,canonical,INDETERMINATE,INDETERMINATE,96
F,canonical,INDETERMINATE,UNAVAILABLE,0
F,single_fault,VALID,VALID,0
F,single_fault,VALID,INVALID,0
F,single_fault,VALID,INDETERMINATE,0
F,single_fault,VALID,UNAVAILABLE,0
F,single_fault,INVALID,VALID,0
F,single_fault,INVALID,INVALID,336
F,single_fault,INVALID,INDETERMINATE,0
F,single_fault,INVALID,UNAVAILABLE,0
F,single_fault,INDETERMINATE,VALID,0
F,single_fault,INDETERMINATE,INVALID,0
F,single_fault,INDETERMINATE,INDETERMINATE,144
F,single_fault,INDETERMINATE,UNAVAILABLE,0
F,compound_fault,VALID,VALID,0
F,compound_fault,VALID,INVALID,0
F,compound_fault,VALID,INDETERMINATE,0
F,compound_fault,VALID,UNAVAILABLE,0
F,compound_fault,INVALID,VALID,0
F,compound_fault,INVALID,INVALID,96
F,compound_fault,INVALID,INDETERMINATE,0
F,compound_fault,INVALID,UNAVAILABLE,0
F,compound_fault,INDETERMINATE,VALID,0
F,compound_fault,INDETERMINATE,INVALID,0
F,compound_fault,INDETERMINATE,INDETERMINATE,0
F,compound_fault,INDETERMINATE,UNAVAILABLE,0
F,all,VALID,VALID,240
F,all,VALID,INVALID,0
F,all,VALID,INDETERMINATE,0
F,all,VALID,UNAVAILABLE,0
F,all,INVALID,VALID,0
F,all,INVALID,INVALID,672
F,all,INVALID,INDETERMINATE,0
F,all,INVALID,UNAVAILABLE,0
F,all,INDETERMINATE,VALID,0
F,all,INDETERMINATE,INVALID,0
F,all,INDETERMINATE,INDETERMINATE,240
F,all,INDETERMINATE,UNAVAILABLE,0
